iter	Passed	Remaining
0	138	137884
1	142	71336
2	145	48247
3	147	36753
4	149	29789
5	151	25130
6	154	21888
7	157	19507
8	159	17568
9	160	15929
10	162	14577
11	163	13454
12	164	12507
13	166	11692
14	167	10977
15	169	10417
16	170	9860
17	171	9359
18	173	8938
19	174	8546
20	175	8197
21	177	7883
22	178	7602
23	180	7326
24	181	7072
25	184	6906
26	185	6688
27	186	6485
28	187	6293
29	189	6111
30	190	5941
31	191	5790
32	192	5647
33	193	5505
34	194	5373
35	195	5246
36	198	5163
37	199	5054
38	200	4952
39	202	4857
40	203	4763
41	204	4673
42	206	4585
43	207	4503
44	209	4436
45	210	4359
46	213	4327
47	214	4255
48	215	4188
49	216	4122
50	218	4062
51	219	4003
52	220	3944
53	221	3886
54	222	3831
55	224	3777
56	225	3730
57	227	3690
58	228	3644
59	229	3596
60	230	3550
61	231	3508
62	232	3465
63	234	3423
64	235	3382
65	236	3343
66	237	3304
67	238	3267
68	241	3257
69	242	3225
70	244	3196
71	245	3163
72	246	3131
73	247	3099
74	248	3068
75	250	3044
76	251	3015
77	252	2985
78	254	2970
79	256	2952
80	258	2927
81	259	2902
82	260	2874
83	261	2851
84	262	2826
85	263	2801
86	264	2779
87	265	2755
88	266	2732
89	268	2713
90	270	2705
91	272	2686
92	273	2668
93	274	2647
94	275	2627
95	276	2607
96	277	2587
97	279	2575
98	280	2557
99	282	2540
100	285	2537
101	286	2526
102	288	2509
103	289	2492
104	290	2475
105	291	2460
106	293	2449
107	294	2432
108	296	2422
109	297	2406
110	299	2398
111	302	2395
112	304	2389
113	305	2375
114	306	2360
115	307	2346
116	308	2330
117	310	2319
118	311	2309
119	316	2319
120	317	2307
121	318	2292
122	319	2279
123	320	2266
124	322	2254
125	323	2243
126	324	2229
127	325	2216
128	326	2204
129	328	2195
130	329	2187
131	331	2177
132	332	2166
133	333	2154
134	334	2142
135	335	2130
136	336	2118
137	337	2107
138	338	2096
139	339	2085
140	340	2075
141	341	2062
142	344	2061
143	345	2053
144	346	2043
145	347	2033
146	348	2023
147	349	2012
148	350	2003
149	351	1993
150	352	1984
151	353	1974
152	355	1965
153	356	1956
154	358	1956
155	360	1948
156	361	1938
157	362	1929
158	363	1921
159	364	1912
160	365	1903
161	366	1896
162	368	1889
163	369	1882
164	370	1874
165	373	1877
166	375	1870
167	376	1863
168	377	1858
169	380	1858
170	382	1855
171	383	1848
172	385	1841
173	386	1833
174	388	1833
175	390	1825
176	391	1818
177	392	1811
178	393	1803
179	394	1797
180	395	1789
181	396	1782
182	397	1774
183	398	1767
184	399	1759
185	400	1752
186	402	1751
187	404	1744
188	405	1738
189	406	1731
190	407	1724
191	408	1717
192	409	1711
193	410	1704
194	411	1697
195	412	1691
196	413	1685
197	414	1678
198	415	1672
199	417	1670
200	418	1664
201	419	1658
202	420	1652
203	422	1647
204	423	1641
205	424	1635
206	425	1629
207	426	1623
208	427	1617
209	428	1611
210	429	1605
211	430	1599
212	432	1599
213	433	1593
214	434	1588
215	436	1582
216	437	1577
217	438	1571
218	439	1565
219	439	1559
220	441	1554
221	442	1549
222	443	1543
223	444	1538
224	445	1533
225	447	1532
226	448	1528
227	449	1523
228	450	1517
229	451	1512
230	452	1507
231	453	1502
232	454	1497
233	456	1492
234	457	1487
235	458	1482
236	459	1477
237	459	1472
238	462	1472
239	463	1468
240	464	1463
241	465	1458
242	466	1453
243	467	1448
244	468	1444
245	469	1439
246	470	1434
247	471	1429
248	472	1425
249	473	1420
250	474	1416
251	476	1415
252	478	1411
253	479	1407
254	480	1403
255	481	1399
256	482	1395
257	484	1392
258	485	1388
259	486	1384
260	487	1380
261	488	1376
262	489	1372
263	493	1374
264	494	1371
265	495	1366
266	496	1363
267	497	1359
268	499	1356
269	500	1353
270	501	1350
271	503	1346
272	504	1344
273	506	1342
274	508	1339
275	509	1335
276	510	1332
277	511	1328
278	512	1325
279	514	1321
280	515	1318
281	516	1315
282	517	1311
283	518	1308
284	520	1307
285	522	1303
286	523	1299
287	524	1296
288	525	1292
289	526	1289
290	527	1286
291	529	1282
292	530	1280
293	531	1276
294	532	1273
295	537	1277
296	538	1274
297	539	1271
298	540	1267
299	541	1264
300	542	1260
301	543	1257
302	545	1254
303	546	1251
304	547	1248
305	550	1247
306	551	1245
307	552	1242
308	554	1239
309	555	1235
310	556	1232
311	557	1229
312	558	1226
313	559	1223
314	561	1220
315	562	1216
316	564	1216
317	567	1216
318	568	1213
319	569	1211
320	571	1208
321	572	1205
322	573	1202
323	575	1200
324	576	1197
325	577	1194
326	580	1193
327	581	1191
328	582	1188
329	583	1185
330	585	1182
331	586	1180
332	587	1177
333	588	1174
334	589	1170
335	590	1167
336	591	1164
337	593	1161
338	595	1160
339	596	1157
340	597	1154
341	598	1151
342	599	1148
343	601	1146
344	602	1143
345	603	1140
346	604	1137
347	605	1134
348	606	1131
349	609	1132
350	610	1129
351	611	1126
352	613	1123
353	614	1121
354	615	1119
355	617	1116
356	618	1113
357	619	1110
358	620	1107
359	621	1104
360	623	1103
361	625	1101
362	626	1098
363	627	1096
364	628	1093
365	629	1090
366	631	1088
367	632	1085
368	633	1082
369	634	1079
370	635	1076
371	636	1073
372	639	1074
373	640	1072
374	641	1069
375	643	1067
376	644	1064
377	645	1062
378	647	1060
379	648	1057
380	649	1055
381	650	1052
382	652	1050
383	653	1048
384	655	1046
385	658	1048
386	660	1046
387	662	1044
388	663	1042
389	664	1039
390	665	1036
391	668	1037
392	670	1035
393	671	1033
394	673	1031
395	674	1028
396	675	1026
397	676	1023
398	677	1020
399	678	1018
400	679	1015
401	680	1013
402	683	1012
403	684	1009
404	685	1006
405	686	1004
406	687	1001
407	688	998
408	689	996
409	690	993
410	691	991
411	692	988
412	693	985
413	694	983
414	696	982
415	698	980
416	699	978
417	700	975
418	701	973
419	702	970
420	703	967
421	704	965
422	705	962
423	706	960
424	707	957
425	708	954
426	709	952
427	711	951
428	713	949
429	714	946
430	715	944
431	716	942
432	718	940
433	719	937
434	720	935
435	722	934
436	723	932
437	725	930
438	727	929
439	728	927
440	730	925
441	731	923
442	732	920
443	733	919
444	734	916
445	736	914
446	737	912
447	739	911
448	741	910
449	742	907
450	744	905
451	745	904
452	747	902
453	748	900
454	749	898
455	750	895
456	753	895
457	754	893
458	756	891
459	757	889
460	759	887
461	760	885
462	761	882
463	762	880
464	764	879
465	765	877
466	766	875
467	769	875
468	771	872
469	772	870
470	773	868
471	774	866
472	775	864
473	776	862
474	777	859
475	778	857
476	779	855
477	781	852
478	783	852
479	784	850
480	785	847
481	787	846
482	788	843
483	789	841
484	790	839
485	791	837
486	792	835
487	793	832
488	794	830
489	797	829
490	798	827
491	799	825
492	801	823
493	802	821
494	803	819
495	804	817
496	806	816
497	807	814
498	808	812
499	809	809
500	812	809
501	814	807
502	815	805
503	816	803
504	817	801
505	819	799
506	820	797
507	821	795
508	822	793
509	823	791
510	824	789
511	827	789
512	829	787
513	830	785
514	831	783
515	833	781
516	834	779
517	835	777
518	836	775
519	837	773
520	838	771
521	840	769
522	842	768
523	843	766
524	844	763
525	845	761
526	846	759
527	847	757
528	848	755
529	849	753
530	850	751
531	851	749
532	852	747
533	853	745
534	856	744
535	857	741
536	858	739
537	859	738
538	860	736
539	861	734
540	863	732
541	864	730
542	865	728
543	866	726
544	867	724
545	868	722
546	870	721
547	871	719
548	872	717
549	874	715
550	875	713
551	876	710
552	877	708
553	878	706
554	879	704
555	879	702
556	881	700
557	882	698
558	883	696
559	885	695
560	886	693
561	887	692
562	889	690
563	890	688
564	891	686
565	892	684
566	893	682
567	895	680
568	896	679
569	897	677
570	900	676
571	902	674
572	902	672
573	903	670
574	905	669
575	906	667
576	907	665
577	908	663
578	909	661
579	911	659
580	912	657
581	914	656
582	915	654
583	916	653
584	917	651
585	919	649
586	920	647
587	921	645
588	923	644
589	924	642
590	925	640
591	926	638
592	927	636
593	929	635
594	930	633
595	932	631
596	933	629
597	934	627
598	934	625
599	935	623
600	936	622
601	937	620
602	938	618
603	939	616
604	940	614
605	941	612
606	944	611
607	945	609
608	946	607
609	947	606
610	948	604
611	949	602
612	950	600
613	951	598
614	952	596
615	954	594
616	955	592
617	956	590
618	957	589
619	959	588
620	960	586
621	961	584
622	962	582
623	963	580
624	964	578
625	965	577
626	966	575
627	967	573
628	968	571
629	969	569
630	970	567
631	972	565
632	974	565
633	975	563
634	976	561
635	977	559
636	978	557
637	979	555
638	980	553
639	981	552
640	982	550
641	983	548
642	984	546
643	985	544
644	988	544
645	990	542
646	991	540
647	992	539
648	993	537
649	994	535
650	996	534
651	997	532
652	999	531
653	1001	529
654	1002	528
655	1005	527
656	1006	525
657	1008	524
658	1009	522
659	1011	520
660	1014	520
661	1016	519
662	1019	518
663	1021	516
664	1022	515
665	1024	513
666	1026	512
667	1027	510
668	1028	508
669	1029	507
670	1031	505
671	1032	503
672	1033	502
673	1034	500
674	1036	498
675	1037	497
676	1038	495
677	1040	494
678	1042	492
679	1043	491
680	1044	489
681	1047	488
682	1049	486
683	1050	485
684	1051	483
685	1053	481
686	1054	480
687	1055	478
688	1058	477
689	1060	476
690	1065	476
691	1076	479
692	1081	478
693	1083	477
694	1084	476
695	1086	474
696	1088	473
697	1090	471
698	1092	470
699	1095	469
700	1096	467
701	1098	466
702	1099	464
703	1101	462
704	1103	461
705	1104	460
706	1106	458
707	1109	457
708	1110	455
709	1112	454
710	1114	452
711	1116	451
712	1117	449
713	1118	448
714	1119	446
715	1120	444
716	1121	442
717	1124	441
718	1126	440
719	1127	438
720	1128	436
721	1129	434
722	1130	433
723	1131	431
724	1132	429
725	1133	427
726	1134	426
727	1135	424
728	1136	422
729	1139	421
730	1140	419
731	1141	418
732	1142	416
733	1143	414
734	1144	412
735	1145	410
736	1146	409
737	1147	407
738	1148	405
739	1149	403
740	1150	402
741	1151	400
742	1154	399
743	1155	397
744	1156	395
745	1157	394
746	1158	392
747	1159	390
748	1160	388
749	1161	387
750	1162	385
751	1163	383
752	1164	381
753	1165	380
754	1166	378
755	1169	377
756	1170	375
757	1171	374
758	1172	372
759	1173	370
760	1174	368
761	1175	367
762	1176	365
763	1177	363
764	1178	362
765	1179	360
766	1180	358
767	1181	356
768	1184	355
769	1185	354
770	1186	352
771	1187	350
772	1188	349
773	1189	347
774	1190	345
775	1192	344
776	1193	342
777	1194	340
778	1195	339
779	1196	337
780	1199	336
781	1200	334
782	1201	332
783	1202	331
784	1203	329
785	1204	328
786	1206	326
787	1207	324
788	1208	323
789	1209	321
790	1211	320
791	1214	319
792	1215	317
793	1216	315
794	1217	314
795	1218	312
796	1219	310
797	1221	309
798	1222	307
799	1223	305
800	1224	304
801	1225	302
802	1226	300
803	1227	299
804	1228	297
805	1230	296
806	1231	294
807	1232	292
808	1233	291
809	1234	289
810	1235	287
811	1236	286
812	1237	284
813	1238	283
814	1239	281
815	1242	280
816	1243	278
817	1244	276
818	1245	275
819	1247	273
820	1248	272
821	1249	270
822	1250	268
823	1251	267
824	1252	265
825	1253	264
826	1254	262
827	1257	261
828	1258	259
829	1259	258
830	1260	256
831	1261	254
832	1262	253
833	1264	251
834	1265	249
835	1266	248
836	1267	246
837	1268	245
838	1269	243
839	1272	242
840	1273	240
841	1274	239
842	1275	237
843	1276	235
844	1277	234
845	1278	232
846	1279	231
847	1280	229
848	1281	228
849	1283	226
850	1284	224
851	1286	223
852	1287	221
853	1289	220
854	1290	218
855	1291	217
856	1292	215
857	1293	214
858	1294	212
859	1296	211
860	1297	209
861	1298	207
862	1299	206
863	1301	204
864	1302	203
865	1303	201
866	1304	200
867	1305	198
868	1306	196
869	1307	195
870	1308	193
871	1309	192
872	1310	190
873	1311	189
874	1312	187
875	1315	186
876	1316	184
877	1317	183
878	1318	181
879	1319	179
880	1320	178
881	1321	176
882	1322	175
883	1324	173
884	1325	172
885	1326	170
886	1327	169
887	1330	167
888	1331	166
889	1332	164
890	1333	163
891	1335	161
892	1336	160
893	1337	158
894	1338	156
895	1339	155
896	1340	153
897	1341	152
898	1342	150
899	1345	149
900	1346	147
901	1347	146
902	1348	144
903	1349	143
904	1350	141
905	1351	140
906	1352	138
907	1353	137
908	1354	135
909	1355	134
910	1356	132
911	1357	131
912	1360	129
913	1361	128
914	1362	126
915	1363	125
916	1364	123
917	1366	122
918	1367	120
919	1368	118
920	1369	117
921	1370	115
922	1371	114
923	1372	112
924	1374	111
925	1375	109
926	1377	108
927	1378	106
928	1379	105
929	1380	103
930	1381	102
931	1383	100
932	1384	99
933	1385	97
934	1386	96
935	1387	94
936	1390	93
937	1391	91
938	1392	90
939	1393	88
940	1394	87
941	1395	85
942	1396	84
943	1397	82
944	1398	81
945	1399	79
946	1400	78
947	1401	76
948	1405	75
949	1407	74
950	1408	72
951	1409	71
952	1410	69
953	1411	68
954	1412	66
955	1413	65
956	1414	63
957	1415	62
958	1417	60
959	1419	59
960	1420	57
961	1421	56
962	1423	54
963	1424	53
964	1425	51
965	1426	50
966	1427	48
967	1428	47
968	1428	45
969	1429	44
970	1431	42
971	1432	41
972	1434	39
973	1435	38
974	1436	36
975	1437	35
976	1438	33
977	1439	32
978	1440	30
979	1442	29
980	1443	27
981	1444	26
982	1445	24
983	1446	23
984	1447	22
985	1450	20
986	1452	19
987	1453	17
988	1454	16
989	1455	14
990	1457	13
991	1458	11
992	1459	10
993	1460	8
994	1461	7
995	1462	5
996	1464	4
997	1465	2
998	1467	1
999	1468	0
